step,loss,ema_loss,val_loss,lr,tokens_per_sec
6480,0.631424,0.596041,,0.00000421,1699.78
6500,0.411541,0.591511,0.445245,0.00000375,1732.54
6520,0.501572,0.580534,,0.00000331,1773.33
6540,0.727401,0.651769,,0.00000288,1839.27
6560,0.677606,0.657808,,0.00000248,1863.05
6580,0.730366,0.678239,,0.00000210,1616.81
6600,0.315979,0.657208,0.418307,0.00000175,1665.87
6620,0.591303,0.684205,,0.00000150,1604.53
6640,0.809887,0.645700,,0.00000150,1729.84
6660,0.449271,0.619782,,0.00000150,1876.04
6680,0.521588,0.572708,,0.00000150,1799.24
6700,0.469266,0.606922,0.452453,0.00000150,1669.94
6720,0.617197,0.615217,,0.00000150,1750.72
6740,0.531015,0.603627,,0.00000150,1739.14
6760,0.470532,0.587700,,0.00000150,1549.93
6780,0.477421,0.586074,,0.00000150,1842.91
6800,1.065608,0.579513,0.465191,0.00000150,1853.00
