step,loss,ema_loss,val_loss,lr,tokens_per_sec
7420,2.179457,1.951610,,0.00004792,2115.12
7440,2.020385,1.909138,,0.00004778,2136.80
7460,1.426788,1.893416,,0.00004763,2062.30
7480,1.599878,1.893764,,0.00004749,2146.09
7500,1.840106,1.878813,,0.00004734,2129.77
7520,1.741394,1.885422,,0.00004720,2092.91
7540,1.930290,1.888686,,0.00004705,2110.75
7560,1.989114,1.889239,,0.00004691,2094.13
7580,1.950796,1.884616,,0.00004676,2065.46
7600,2.261583,1.886269,3.091058,0.00004661,2076.47
7620,1.564569,1.860783,,0.00004647,2064.96
7640,2.218714,1.886021,,0.00004632,2079.14
7660,2.059470,1.926833,,0.00004618,2138.35
7680,1.802204,1.881642,,0.00004603,2130.34
7700,1.769749,1.841247,,0.00004588,2062.76
7720,1.593574,1.880983,,0.00004574,2031.31
7740,2.099194,1.862845,,0.00004559,2113.39
7760,1.301669,1.852751,,0.00004545,2127.95
7780,1.762985,1.845059,,0.00004530,2122.30
7800,1.978611,1.829397,3.682092,0.00004515,2073.46
7820,2.031043,1.837587,,0.00004501,2046.32
7840,1.955916,1.855257,,0.00004486,2059.59
7860,1.848683,1.793835,,0.00004471,1989.96
7880,2.126759,1.842410,,0.00004457,2041.34
7900,1.965020,1.801792,,0.00004442,2079.09
7920,1.426006,1.822063,,0.00004427,2125.71
7940,1.461556,1.839715,,0.00004412,2121.72
7960,2.374950,1.946310,,0.00004398,2120.89
7980,2.066190,1.894918,,0.00004383,2110.59
8000,1.640270,1.854695,3.204314,0.00004368,2112.40
8020,1.940181,1.834782,,0.00004354,2091.33
8040,2.025933,1.840922,,0.00004339,2124.56
8060,1.755822,1.793754,,0.00004324,2136.23
8080,1.856480,1.804321,,0.00004309,2110.77
8100,2.156838,1.807767,,0.00004295,2128.87
8120,1.252052,1.791668,,0.00004280,2111.68
8140,2.014921,1.809237,,0.00004265,2113.35
8160,1.696809,1.758274,,0.00004250,2117.25
8180,1.790567,1.807557,,0.00004236,2112.61
8200,1.690806,1.789474,3.009898,0.00004221,2105.28
8220,1.561943,1.799067,,0.00004206,2118.55
8240,2.153401,1.842682,,0.00004191,2136.15
8260,1.625844,1.854944,,0.00004177,2055.77
8280,1.808080,1.827092,,0.00004162,2085.56
8300,1.653191,1.809312,,0.00004147,2128.43
8320,1.669714,1.858552,,0.00004132,2116.93
8340,1.967200,1.792708,,0.00004118,2137.00
8360,1.790532,1.844261,,0.00004103,2124.39
8380,1.477528,1.828600,,0.00004088,2130.74
8400,1.624229,1.802416,2.995939,0.00004073,2113.42
8420,1.844101,1.787405,,0.00004058,2072.59
8440,2.150108,1.814975,,0.00004044,2104.56
8460,1.589886,1.848152,,0.00004029,2139.08
8480,1.933878,1.892409,,0.00004014,2114.16
8500,1.598231,1.816401,,0.00003999,2021.68
8520,1.921150,1.851281,,0.00003984,2113.39
8540,1.841399,1.839508,,0.00003970,2129.32
8560,1.447444,1.844686,,0.00003955,2102.82
8580,1.684400,1.868141,,0.00003940,2118.41
8600,1.927608,1.834894,2.685131,0.00003925,2116.32
8620,1.857325,1.844122,,0.00003911,2124.27
8640,1.425732,1.822349,,0.00003896,2147.89
8660,1.982014,1.785429,,0.00003881,2126.06
8680,1.849606,1.783081,,0.00003866,2111.23
8700,1.740571,1.824099,,0.00003851,2138.59
8720,2.119789,1.803450,,0.00003837,2135.43
8740,1.917880,1.734883,,0.00003822,2099.37
8760,1.493893,1.790849,,0.00003807,2092.03
8780,1.610132,1.872980,,0.00003792,2111.65
8800,2.464642,1.854927,2.921279,0.00003778,2025.42
8820,1.449391,1.789288,,0.00003763,2069.89
8840,1.559411,1.823462,,0.00003748,2115.37
8860,1.757196,1.764083,,0.00003733,2116.98
8880,1.431521,1.777977,,0.00003719,2103.75
8900,1.527625,1.873537,,0.00003704,2112.19
8920,1.603405,1.767061,,0.00003689,2114.35
8940,2.124954,1.813969,,0.00003674,2092.77
8960,1.823961,1.770233,,0.00003660,2121.76
8980,1.686455,1.799095,,0.00003645,2111.79
9000,1.604916,1.770894,3.215175,0.00003630,2086.91
9020,2.253688,1.791139,,0.00003615,2072.48
9040,1.886575,1.744361,,0.00003601,2106.44
9060,1.888515,1.827870,,0.00003586,2112.05
9080,2.159488,1.757330,,0.00003571,2122.98
9100,1.956461,1.753973,,0.00003557,2110.56
9120,1.360867,1.715678,,0.00003542,2073.56
9140,2.089365,1.751451,,0.00003527,2128.48
9160,1.742284,1.836206,,0.00003513,2125.96
9180,1.479805,1.741422,,0.00003498,2134.00
9200,1.387747,1.771152,3.109149,0.00003483,2081.43
9220,1.608263,1.720643,,0.00003469,2078.71
9240,1.743110,1.768075,,0.00003454,2099.68
